"report-file-2"
"Iteration" "lift"
("Iteration" "lift")
1 28844.30331682259
2 52938.5974054312
3 70331.17437978782
4 82464.58740157817
5 90932.66967889626
6 96793.15888678888
7 100855.1879273678
8 103650.1290383886
9 105161.720159659
10 106310.211392622
11 107234.8922816199
12 107917.1035804822
13 108447.771149058
14 108932.6275716381
15 109274.629798662
16 109491.296849335
17 109651.6457360705
18 109760.0625877405
19 109841.9691509887
20 109899.701519911
21 109944.2726862198
22 109976.5487539037
23 110001.2831369175
24 110019.0592815494
25 110032.2644931717
26 110041.391541027
27 110047.842086524
28 110052.1205438459
29 110055.0099149307
30 110056.8466918799
31 110058.037495683
32 110058.8017721533
33 110059.424831945
34 110059.9673166154
35 110060.6384711617
36 110061.3498604535
37 110062.2340864707
38 110063.1720199198
39 110064.2767617962
40 110065.4360965741
41 110066.7271708668
42 110068.0346539611
43 110069.4360054073
44 110070.7985927589
45 110072.2250946341
46 110073.6301162506
47 110075.0910101927
48 110076.5343557319
49 110078.0467174577
50 110079.5426380165
51 110081.0856105487
52 110082.5408900299
53 110083.9628731147
54 110085.2407566514
55 110086.4697846375
56 110087.5468992017
57 110088.5837390719
58 110089.5053380297
59 110090.3959417236
60 110091.1395190655
61 110091.8378469665
62 110092.4154879779
63 110092.9645096006
64 110093.4002076978
65 110093.831173115
66 110094.1647997573
67 110094.5068503692
68 110094.7664957654
69 110095.0653986481
70 110095.2921770876
71 110095.5451470347
72 110095.6777616456
73 110095.7252721529
74 110095.6623720767
75 110095.6537110664
76 110095.5984562482
77 110095.6347161481
78 110095.6449526297
79 110095.758171303
80 110095.8455433772
81 110096.0133743711
82 110096.1338453128
83 110096.3170725916
84 110096.4229859424
85 110096.5709336768
86 110096.6490523531
87 110096.7851668732
88 110096.8608964831
89 110096.983271542
90 110097.0022176651
91 110097.0452137533
92 110097.0015487368
93 110096.9939884463
94 110096.9232215951
95 110096.9121791122
96 110096.847263044
97 110096.8211740886
98 110096.7122454483
99 110096.6188899509
100 110096.4453692755
