"report-file-6"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 17667.13578155384
2 32424.89091082661
3 43077.84430762004
4 50509.55978346663
5 55696.26017832397
6 59285.80981815819
7 61773.8026055128
8 63485.70403601303
9 64411.55359779117
10 65115.00447798098
11 65681.37152249222
12 66099.22594304536
13 66424.25982879804
14 66721.23438762836
15 66930.7107516805
16 67063.41932021768
17 67161.63301334321
18 67228.03833499108
19 67278.20610498061
20 67313.56718094548
21 67340.86702030964
22 67360.63611176601
23 67375.785921362
24 67386.67380994903
25 67394.76200206765
26 67400.35231887907
27 67404.30327799598
28 67406.92383310564
29 67408.69357289506
30 67409.81859877642
31 67410.54796610582
32 67411.01608544387
33 67411.39770956633
34 67411.72998142695
35 67412.14106358658
36 67412.5767895278
37 67413.11837796328
38 67413.69286220091
39 67414.36951660019
40 67415.07960915162
41 67415.87039215592
42 67416.67122555121
43 67417.52955331195
44 67418.36413806486
45 67419.23787046336
46 67420.09844620347
47 67420.99324374303
48 67421.87729288578
49 67422.80361444283
50 67423.71986578513
51 67424.66493646108
52 67425.55629514332
53 67426.42725978277
54 67427.20996344897
55 67427.96274309048
56 67428.62247576105
57 67429.25754018154
58 67429.82201954321
59 67430.3675143057
60 67430.8229554276
61 67431.25068126699
62 67431.60448638644
63 67431.94076213035
64 67432.20762721488
65 67432.47159353297
66 67432.67593985138
67 67432.88544585115
68 67433.0444786563
69 67433.22755667195
70 67433.36645846619
71 67433.52140255878
72 67433.60262900793
73 67433.63172919364
74 67433.59320289695
75 67433.5878980282
76 67433.55405445202
77 67433.57626364072
78 67433.58253348569
79 67433.65187992311
80 67433.70539531854
81 67433.80819180229
82 67433.88198025411
83 67433.99420696234
84 67434.05907888971
85 67434.14969687707
86 67434.19754456627
87 67434.28091470982
88 67434.32729909592
89 67434.40225381947
90 67434.41385831987
91 67434.4401934239
92 67434.41344860132
93 67434.40881792334
94 67434.36547322699
95 67434.35870970624
96 67434.31894861443
97 67434.30296912929
98 67434.23625033708
99 67434.17907009495
100 67434.07278868128
